dataset,experiment_family,statistical_group,method,baseline_method,metric,num_queries,baseline_mean,candidate_mean,mean_delta,candidate_ci95_low,candidate_ci95_high,delta_ci95_low,delta_ci95_high,num_harmed,num_improved,num_neutral,harm_rate,improvement_rate,neutral_rate,harm_severity,worst5_count,worst5_loss,delta_min,delta_median,delta_max,bootstrap_iterations,bootstrap_stratified_by_task,holm_family_id,p_raw,p_holm,source_delta,inferential_source_path,source_kind,family_definition,source_note,sign_flip_iterations,sign_flip_iterations_provenance,inferential_status,significant_holm_0.05,significant_positive_holm,significant_negative_holm
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_all_nonhyde,dense_e5_filepath_chunk_original,Recall@100,200,0.8472380952380953,0.8537103174603174,0.0064722222222222,0.8164031746031747,0.8880721230158729,-0.0163611111111111,0.0288888888888888,9,13,178,0.045,0.065,0.89,-0.4703703703703704,10,-0.4233333333333333,-1.0,0.0,1.0,10000,True,dense_e5_filepath_chunk,0.5758542414575855,1.0,0.0064722222222222,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_all_nonhyde,dense_e5_filepath_chunk_original,nDCG@10,200,0.3617241781802576,0.3633463712088857,0.0016221930286281,0.3223045606610935,0.4054134956443472,-0.0222170270163922,0.0256345432058378,59,61,80,0.295,0.305,0.4,-0.1843362558031099,10,-0.451307156113264,-0.516187116833223,0.0,1.0,10000,True,dense_e5_filepath_chunk,0.903860961390386,1.0,0.0016221930286281,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_deepseek_keyword_gpt_legal,dense_e5_filepath_chunk_original,MRR@10,200,0.3920396825396824,0.4244662698412698,0.0324265873015873,0.3711026289682539,0.4797386904761904,0.0078508432539682,0.0578516369047618,24,52,124,0.12,0.26,0.62,-0.2097718253968253,10,-0.3833333333333333,-0.5,0.0,1.0,10000,True,dense_e5_filepath_chunk,0.0128998710012899,0.2192978070219297,0.0324265873015873,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_deepseek_keyword_gpt_legal,dense_e5_filepath_chunk_original,Recall@10,200,0.4965351307189543,0.518515756302521,0.0219806255835667,0.4656721405228758,0.5703949667366947,-0.0101150501867413,0.0543026960784313,14,27,159,0.07,0.135,0.795,-0.5107142857142857,10,-0.6166666666666666,-1.0,0.0,1.0,10000,True,dense_e5_filepath_chunk,0.1931780682193178,1.0,0.0219806255835667,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_deepseek_keyword_gpt_legal,dense_e5_filepath_chunk_original,Recall@100,200,0.8472380952380953,0.8534404761904761,0.0062023809523809,0.8161349206349207,0.8886596230158731,-0.0154642857142857,0.0276118055555555,9,12,179,0.045,0.06,0.895,-0.4208112874779541,10,-0.3787301587301587,-1.0,0.0,1.0,10000,True,dense_e5_filepath_chunk,0.5887841121588784,1.0,0.0062023809523809,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,non_significant,False,False,False
legalbench_mini,legalbench_dense_hybrid,dense_e5_filepath_chunk,dense_rrf_e5_filepath_chunk_original_deepseek_keyword_gpt_legal,dense_e5_filepath_chunk_original,nDCG@10,200,0.3617241781802576,0.3890340340112547,0.0273098558309971,0.3469940389350549,0.4318464714535168,0.0099757998350956,0.0450672865855281,37,73,90,0.185,0.365,0.45,-0.1212749790824982,10,-0.2496744068977388,-0.3690702464285424,0.0,0.5,10000,True,dense_e5_filepath_chunk,0.0022799772002279,0.0455995440045599,0.0273098558309971,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group dense_e5_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_positive,True,True,False
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_hyde,hybrid_bge_filepath_chunk_dw0p5_original,MRR@10,200,0.2483630952380952,0.152781746031746,-0.0955813492063492,0.1161626984126984,0.1930517857142857,-0.1396764384920635,-0.0512618055555555,74,31,95,0.37,0.155,0.475,-0.4076469326469327,10,-1.0,-1.0,0.0,0.9,10000,True,hybrid_bge_filepath_chunk,0.0001199988000119,0.0021599784002159,-0.0955813492063492,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_hyde,hybrid_bge_filepath_chunk_dw0p5_original,Recall@10,200,0.3524136321195145,0.1817752100840336,-0.1706384220354808,0.1434648284313725,0.2229335959383753,-0.2208955357142857,-0.1198716678338002,73,24,103,0.365,0.12,0.515,-0.6039573820395738,10,-1.0,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,9.99990000099999e-06,0.0003199968000319,-0.1706384220354808,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_hyde,hybrid_bge_filepath_chunk_dw0p5_original,Recall@100,200,0.7343978758169933,0.4157803454715219,-0.3186175303454715,0.3618602124183006,0.4719683181605976,-0.3792712885154061,-0.2568552754435107,99,14,87,0.495,0.07,0.435,-0.7172408020447237,10,-1.0,-1.0,0.0,1.0,10000,True,hybrid_bge_filepath_chunk,9.99990000099999e-06,0.0003199968000319,-0.3186175303454715,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
legalbench_mini,legalbench_dense_hybrid,hybrid_bge_filepath_chunk,hybrid_bge_filepath_chunk_dw0p5_deepseek_hyde,hybrid_bge_filepath_chunk_dw0p5_original,nDCG@10,200,0.2348364133057164,0.1320580269497241,-0.1027783863559922,0.1028617665897373,0.1644222549092457,-0.140583987386959,-0.0659444706376417,82,33,85,0.41,0.165,0.425,-0.366963791494412,10,-0.906674029551754,-1.0,0.0,0.8154243032204318,10000,True,hybrid_bge_filepath_chunk,9.99990000099999e-06,0.0003199968000319,-0.1027783863559922,outputs/tables/legalbench/dense_hybrid/legalbench_dense_hybrid_summary_filepath_chunk_models-e5-bge_dw0p5.csv,wide_summary,All candidate-versus-baseline metric tests in group hybrid_bge_filepath_chunk.,,100000.0,verified_final_dense_hybrid_command,significant_negative,True,False,True
